variavel,papel,tipo,n,media,mediana,moda,desvio_absoluto_medio,variancia_amostral,desvio_padrao_amostral,percentual_alem_1_dp,distribuicao,justificativa,medidas_nao_calculaveis
fixed acidity,entrada,continua,6497,7.215307064799139,7.0,6.8000,0.9144247724568727,1.6807404883629502,1.2964337577998153,21.24057257195629,Assimetrica a direita,A media ficou maior que a mediana; isso indica cauda mais longa a direita.,Nenhuma para fins descritivos numericos.
volatile acidity,entrada,continua,6497,0.3396659996921656,0.29,0.2800,0.12438765299355908,0.0271051685990351,0.16463647408467877,23.918731722333384,Assimetrica a direita,A media ficou maior que a mediana; isso indica cauda mais longa a direita.,Nenhuma para fins descritivos numericos.
citric acid,entrada,continua,6497,0.3186332153301524,0.31,0.3000,0.10583270255397116,0.021117281858394666,0.14531786489759155,27.22795136216715,Assimetrica a direita,A media ficou maior que a mediana; isso indica cauda mais longa a direita.,Nenhuma para fins descritivos numericos.
residual sugar,entrada,continua,6497,5.443235339387409,3.0,2.0000,3.902330543674045,22.636696458307583,4.757803743147418,17.946744651377557,Assimetrica a direita,A media ficou maior que a mediana; isso indica cauda mais longa a direita.,Nenhuma para fins descritivos numericos.
chlorides,entrada,continua,6497,0.05603386178236109,0.047,0.0440,0.020646558815971446,0.0012273532251243658,0.03503360137245907,9.050330921963983,Assimetrica a direita,A media ficou maior que a mediana; isso indica cauda mais longa a direita.,Nenhuma para fins descritivos numericos.
free sulfur dioxide,entrada,continua,6497,30.525319378174544,29.0,29.0000,14.019184355436753,315.04119226636243,17.7493997720025,32.291826997075574,Assimetrica a direita,A media ficou maior que a mediana; isso indica cauda mais longa a direita.,Nenhuma para fins descritivos numericos.
total sulfur dioxide,entrada,continua,6497,115.7445744189626,118.0,111.0000,45.679511380550046,3194.7200386773816,56.521854522630285,35.53947975988918,Assimetrica a esquerda,A media ficou menor que a mediana; isso indica cauda mais longa a esquerda.,Nenhuma para fins descritivos numericos.
density,entrada,continua,6497,0.9946966338309989,0.99489,"0.9972, 0.9976",0.0024833978292250728,8.992039783233365e-06,0.0029986730037190393,35.801138987224874,Assimetrica a esquerda,A media ficou menor que a mediana; isso indica cauda mais longa a esquerda.,Nenhuma para fins descritivos numericos.
pH,entrada,continua,6497,3.2185008465445586,3.21,3.1600,0.12742537947860946,0.025852524360428567,0.16078720210398764,31.060489456672308,Assimetrica a direita,A media ficou maior que a mediana; isso indica cauda mais longa a direita.,Nenhuma para fins descritivos numericos.
sulphates,entrada,continua,6497,0.5312682776666154,0.51,0.5000,0.10952912355163082,0.022143188022171655,0.14880587361449027,26.042788979529014,Assimetrica a direita,A media ficou maior que a mediana; isso indica cauda mais longa a direita.,Nenhuma para fins descritivos numericos.
alcohol,entrada,continua,6497,10.491800831152839,10.3,9.5000,0.9966528248590313,1.4225613158949029,1.192711748870993,33.95413267661998,Assimetrica a direita,A media ficou maior que a mediana; isso indica cauda mais longa a direita.,Nenhuma para fins descritivos numericos.
quality,alvo,ordinal,6497,5.818377712790519,6.0,6,0.6855510134808671,0.7625747692568985,0.8732552715311248,23.44158842542712,Assimetrica a esquerda,A media ficou menor que a mediana; isso indica cauda mais longa a esquerda.,Nenhuma para fins descritivos numericos.
wine_type,identificacao,nominal,6497,,,white,,,,,Nao aplicavel,Variavel nominal; nao possui escala numerica nem ordem natural.,"Media, mediana, desvio absoluto medio, variancia, desvio padrao e percentual alem de 1 desvio padrao nao se aplicam."
