variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr,valor
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[3.8, 4.8)",4.3,16,0.002462675080806526,16,0.002462675080806526,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[4.8, 5.8)",5.3,379,0.05833461597660459,395,0.060797291057411114,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[5.8, 6.8)",6.3,2160,0.33246113590888104,2555,0.39325842696629215,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[6.8, 7.8)",7.3,2423,0.3729413575496383,4978,0.7661997845159305,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[7.8, 8.8)",8.3,862,0.1326766199784516,5840,0.8988764044943821,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[8.8, 9.8)",9.3,320,0.04925350161613052,6160,0.9481299061105126,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[9.8, 10.8)",10.3,179,0.02755117746652301,6339,0.9756810835770356,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[10.8, 11.8)",11.3,75,0.01154378944128059,6414,0.9872248730183162,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[11.8, 12.8)",12.3,52,0.00800369401262121,6466,0.9952285670309374,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[12.8, 13.8)",13.3,20,0.0030783438510081575,6486,0.9983069108819456,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[13.8, 14.8)",14.3,4,0.0006156687702016315,6490,0.9989225796521471,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[14.8, 15.8)",15.3,6,0.0009235031553024473,6496,0.9998460828074496,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[15.8, 16.8)",16.3,1,0.00015391719255040788,6497,1.0,
fixed acidity,6497.0,3.8,15.9,12.100000000000001,14.0,1.0,"[16.8, 17.8)",17.3,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[0.08, 1.08)",0.5800000000000001,6487,0.9984608280744959,6487,0.9984608280744959,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[1.08, 2.08)",1.58,10,0.0015391719255040787,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[2.08, 3.08)",2.58,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[3.08, 4.08)",3.58,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[4.08, 5.08)",4.58,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[5.08, 6.08)",5.58,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[6.08, 7.08)",6.58,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[7.08, 8.08)",7.58,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[8.08, 9.08)",8.58,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[9.08, 10.08)",9.58,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[10.08, 11.08)",10.58,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[11.08, 12.08)",11.58,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[12.08, 13.08)",12.58,0,0.0,6497,1.0,
volatile acidity,6497.0,0.08,1.58,1.5,14.0,1.0,"[13.08, 14.08)",13.58,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[0.0, 1.0)",0.5,6489,0.9987686624595967,6489,0.9987686624595967,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[1.0, 2.0)",1.5,8,0.001231337540403263,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[2.0, 3.0)",2.5,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[3.0, 4.0)",3.5,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[4.0, 5.0)",4.5,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[5.0, 6.0)",5.5,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[6.0, 7.0)",6.5,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[7.0, 8.0)",7.5,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[8.0, 9.0)",8.5,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[9.0, 10.0)",9.5,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[10.0, 11.0)",10.5,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[11.0, 12.0)",11.5,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[12.0, 13.0)",12.5,0,0.0,6497,1.0,
citric acid,6497.0,0.0,1.66,1.66,14.0,1.0,"[13.0, 14.0)",13.5,0,0.0,6497,1.0,
