variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr
alcohol,6497,8.0,14.9,6.9,14,1,"[8.0, 9.0)",8.5,324,0.04986917038633215,324,0.04986917038633215
alcohol,6497,8.0,14.9,6.9,14,1,"[9.0, 10.0)",9.5,2279,0.35077728182237955,2603,0.4006464522087117
alcohol,6497,8.0,14.9,6.9,14,1,"[10.0, 11.0)",10.5,1708,0.26289056487609663,4311,0.6635370170848083
alcohol,6497,8.0,14.9,6.9,14,1,"[11.0, 12.0)",11.5,1211,0.18639372017854394,5522,0.8499307372633522
alcohol,6497,8.0,14.9,6.9,14,1,"[12.0, 13.0)",12.5,808,0.12436509158072957,6330,0.9742958288440818
alcohol,6497,8.0,14.9,6.9,14,1,"[13.0, 14.0)",13.5,152,0.023395413267661997,6482,0.9976912421117439
alcohol,6497,8.0,14.9,6.9,14,1,"[14.0, 15.0)",14.5,15,0.0023087578882561182,6497,1.0
alcohol,6497,8.0,14.9,6.9,14,1,"[15.0, 16.0)",15.5,0,0.0,6497,1.0
alcohol,6497,8.0,14.9,6.9,14,1,"[16.0, 17.0)",16.5,0,0.0,6497,1.0
alcohol,6497,8.0,14.9,6.9,14,1,"[17.0, 18.0)",17.5,0,0.0,6497,1.0
alcohol,6497,8.0,14.9,6.9,14,1,"[18.0, 19.0)",18.5,0,0.0,6497,1.0
alcohol,6497,8.0,14.9,6.9,14,1,"[19.0, 20.0)",19.5,0,0.0,6497,1.0
alcohol,6497,8.0,14.9,6.9,14,1,"[20.0, 21.0)",20.5,0,0.0,6497,1.0
alcohol,6497,8.0,14.9,6.9,14,1,"[21.0, 22.0)",21.5,0,0.0,6497,1.0
