variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr
citric acid,6497,0.0,1.66,1.66,14,1,"[0.0, 1.0)",0.5,6489,0.9987686624595967,6489,0.9987686624595967
citric acid,6497,0.0,1.66,1.66,14,1,"[1.0, 2.0)",1.5,8,0.001231337540403263,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[2.0, 3.0)",2.5,0,0.0,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[3.0, 4.0)",3.5,0,0.0,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[4.0, 5.0)",4.5,0,0.0,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[5.0, 6.0)",5.5,0,0.0,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[6.0, 7.0)",6.5,0,0.0,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[7.0, 8.0)",7.5,0,0.0,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[8.0, 9.0)",8.5,0,0.0,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[9.0, 10.0)",9.5,0,0.0,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[10.0, 11.0)",10.5,0,0.0,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[11.0, 12.0)",11.5,0,0.0,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[12.0, 13.0)",12.5,0,0.0,6497,1.0
citric acid,6497,0.0,1.66,1.66,14,1,"[13.0, 14.0)",13.5,0,0.0,6497,1.0
