variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[1.0, 22.0)",11.5,2230,0.3432353393874096,2230,0.3432353393874096
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[22.0, 43.0)",32.5,2751,0.4234261967061721,4981,0.7666615360935817
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[43.0, 64.0)",53.5,1275,0.19624442050177004,6256,0.9629059565953517
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[64.0, 85.0)",74.5,205,0.03155302447283362,6461,0.9944589810681853
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[85.0, 106.0)",95.5,23,0.003540095428659381,6484,0.9979990764968447
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[106.0, 127.0)",116.5,8,0.001231337540403263,6492,0.999230414037248
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[127.0, 148.0)",137.5,4,0.0006156687702016315,6496,0.9998460828074496
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[148.0, 169.0)",158.5,0,0.0,6496,0.9998460828074496
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[169.0, 190.0)",179.5,0,0.0,6496,0.9998460828074496
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[190.0, 211.0)",200.5,0,0.0,6496,0.9998460828074496
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[211.0, 232.0)",221.5,0,0.0,6496,0.9998460828074496
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[232.0, 253.0)",242.5,0,0.0,6496,0.9998460828074496
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[253.0, 274.0)",263.5,0,0.0,6496,0.9998460828074496
free sulfur dioxide,6497,1.0,289.0,288.0,14,21,"[274.0, 295.0)",284.5,1,0.00015391719255040788,6497,1.0
