variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[6.0, 37.0)",21.5,791,0.12174849930737264,791,0.12174849930737264
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[37.0, 68.0)",52.5,613,0.09435123903340004,1404,0.21609973834077267
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[68.0, 99.0)",83.5,911,0.14021856241342157,2315,0.35631830075419424
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[99.0, 130.0)",114.5,1472,0.2265661074342004,3787,0.5828844081883946
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[130.0, 161.0)",145.5,1261,0.19408957980606434,5048,0.7769739879944589
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[161.0, 192.0)",176.5,895,0.13775588733261504,5943,0.914729875327074
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[192.0, 223.0)",207.5,408,0.06279821456056642,6351,0.9775280898876404
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[223.0, 254.0)",238.5,129,0.019855317839002618,6480,0.997383407726643
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[254.0, 285.0)",269.5,9,0.0013852547329536709,6489,0.9987686624595967
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[285.0, 316.0)",300.5,5,0.0007695859627520394,6494,0.9995382484223487
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[316.0, 347.0)",331.5,1,0.00015391719255040788,6495,0.9996921656148992
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[347.0, 378.0)",362.5,1,0.00015391719255040788,6496,0.9998460828074496
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[378.0, 409.0)",393.5,0,0.0,6496,0.9998460828074496
total sulfur dioxide,6497,6.0,440.0,434.0,14,31,"[409.0, 471.0)",440.0,1,0.00015391719255040788,6497,1.0
