variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr
volatile acidity,6497,0.08,1.58,1.5,14,1,"[0.08, 1.08)",0.5800000000000001,6487,0.9984608280744959,6487,0.9984608280744959
volatile acidity,6497,0.08,1.58,1.5,14,1,"[1.08, 2.08)",1.58,10,0.0015391719255040787,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[2.08, 3.08)",2.58,0,0.0,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[3.08, 4.08)",3.58,0,0.0,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[4.08, 5.08)",4.58,0,0.0,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[5.08, 6.08)",5.58,0,0.0,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[6.08, 7.08)",6.58,0,0.0,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[7.08, 8.08)",7.58,0,0.0,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[8.08, 9.08)",8.58,0,0.0,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[9.08, 10.08)",9.58,0,0.0,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[10.08, 11.08)",10.58,0,0.0,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[11.08, 12.08)",11.58,0,0.0,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[12.08, 13.08)",12.58,0,0.0,6497,1.0
volatile acidity,6497,0.08,1.58,1.5,14,1,"[13.08, 14.08)",13.58,0,0.0,6497,1.0
