Palavra,72_sorteios,216_sorteios,720_sorteios,2160_sorteios,7200_sorteios,72000_sorteios,Esperado_Percentual
qace,2,2,9,25,86,991,1.3889
qaco,0,6,6,33,96,1015,1.3889
qafe,1,1,14,23,96,1025,1.3889
qafo,2,2,12,41,96,1012,1.3889
qape,1,2,8,28,90,998,1.3889
qapo,1,3,13,32,121,1001,1.3889
qice,3,3,7,36,98,1016,1.3889
qico,0,3,12,42,103,1007,1.3889
qife,2,3,15,17,106,995,1.3889
qifo,0,4,10,33,121,958,1.3889
qipe,0,1,11,19,111,960,1.3889
qipo,0,3,8,31,97,1015,1.3889
quce,1,0,9,30,94,1074,1.3889
quco,0,3,5,42,106,1033,1.3889
qufe,2,4,15,30,110,1011,1.3889
qufo,1,3,9,34,87,991,1.3889
qupe,0,2,8,38,95,990,1.3889
qupo,3,2,5,26,108,980,1.3889
wace,2,3,11,30,108,938,1.3889
waco,1,2,12,33,108,1032,1.3889
wafe,1,4,12,25,101,1005,1.3889
wafo,3,2,8,34,112,991,1.3889
wape,0,2,10,29,92,980,1.3889
wapo,1,1,11,34,93,972,1.3889
wice,0,5,12,32,81,955,1.3889
wico,1,3,16,22,90,963,1.3889
wife,1,4,13,35,94,984,1.3889
wifo,1,6,12,30,96,1011,1.3889
wipe,1,3,9,27,93,998,1.3889
wipo,0,2,12,30,82,1037,1.3889
wuce,0,3,14,28,96,941,1.3889
wuco,0,3,11,24,97,1019,1.3889
wufe,0,4,9,24,99,1028,1.3889
wufo,0,2,10,17,95,967,1.3889
wupe,0,1,8,31,84,970,1.3889
wupo,0,2,6,38,98,1003,1.3889
xace,0,2,4,24,111,1004,1.3889
xaco,1,3,13,32,82,1020,1.3889
xafe,1,3,9,38,99,978,1.3889
xafo,0,5,10,24,95,941,1.3889
xape,1,1,11,30,94,1000,1.3889
xapo,4,4,9,33,106,991,1.3889
xice,1,4,7,31,105,994,1.3889
xico,2,4,7,38,98,1004,1.3889
xife,0,4,9,26,100,1001,1.3889
xifo,0,2,11,34,98,1054,1.3889
xipe,1,2,5,24,107,1022,1.3889
xipo,2,2,7,22,106,966,1.3889
xuce,1,8,11,28,118,1022,1.3889
xuco,3,4,15,18,97,1012,1.3889
xufe,1,4,7,25,90,1053,1.3889
xufo,2,4,10,24,114,1010,1.3889
xupe,1,6,9,34,85,1008,1.3889
xupo,0,4,11,37,108,1065,1.3889
zace,2,4,14,29,103,950,1.3889
zaco,0,4,12,28,105,1048,1.3889
zafe,3,0,14,28,112,1003,1.3889
zafo,1,4,12,30,109,1004,1.3889
zape,1,0,9,35,104,979,1.3889
zapo,1,4,7,27,107,967,1.3889
zice,0,4,12,40,117,992,1.3889
zico,0,2,5,30,119,1010,1.3889
zife,1,2,10,33,91,1012,1.3889
zifo,2,5,9,35,92,1071,1.3889
zipe,3,4,7,35,100,1009,1.3889
zipo,2,4,16,30,93,1025,1.3889
zuce,1,0,9,24,96,983,1.3889
zuco,1,5,9,33,101,948,1.3889
zufe,0,2,9,30,99,969,1.3889
zufo,1,3,12,32,98,1028,1.3889
zupe,0,1,7,28,98,1023,1.3889
zupo,1,3,10,28,103,968,1.3889
