variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr
chlorides,6497,0.009,0.611,0.602,14,1,"[0.009, 1.009)",0.5089999999999999,6497,1.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[1.009, 2.009)",1.509,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[2.009, 3.009)",2.509,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[3.009, 4.009)",3.5090000000000003,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[4.009, 5.009)",4.509,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[5.009, 6.009)",5.509,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[6.009, 7.009)",6.509,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[7.009, 8.009)",7.509,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[8.009, 9.009)",8.509,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[9.009, 10.009)",9.509,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[10.009, 11.009)",10.509,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[11.009, 12.009)",11.509,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[12.009, 13.009)",12.509,0,0.0,6497,1.0
chlorides,6497,0.009,0.611,0.602,14,1,"[13.009, 14.009)",13.509,0,0.0,6497,1.0
