variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[0.987, 1.987)",1.487,6497,1.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[1.987, 2.987)",2.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[2.987, 3.987)",3.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[3.987, 4.987)",4.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[4.987, 5.987)",5.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[5.987, 6.987)",6.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[6.987, 7.987)",7.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[7.987, 8.987)",8.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[8.987, 9.987)",9.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[9.987, 10.987)",10.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[10.987, 11.987)",11.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[11.987, 12.987)",12.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[12.987, 13.987)",13.487,0,0.0,6497,1.0
density,6497,0.98711,1.03898,0.05186999999999997,14,1,"[13.987, 14.987)",14.487,0,0.0,6497,1.0
