variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[2.72, 3.72)",3.22,6469,0.9956903186085886,6469,0.9956903186085886
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[3.72, 4.72)",4.22,28,0.004309681391411421,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[4.72, 5.72)",5.22,0,0.0,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[5.72, 6.72)",6.22,0,0.0,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[6.72, 7.72)",7.22,0,0.0,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[7.72, 8.72)",8.22,0,0.0,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[8.72, 9.72)",9.22,0,0.0,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[9.72, 10.72)",10.22,0,0.0,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[10.72, 11.72)",11.22,0,0.0,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[11.72, 12.72)",12.22,0,0.0,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[12.72, 13.72)",13.22,0,0.0,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[13.72, 14.72)",14.22,0,0.0,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[14.72, 15.72)",15.22,0,0.0,6497,1.0
pH,6497,2.72,4.01,1.2899999999999996,14,1,"[15.72, 16.72)",16.22,0,0.0,6497,1.0
