variavel,n,min,max,amplitude_total,k_sturges,h_amplitude_classe,classe_intervalo,xi_ponto_medio,fi,fr,Fi,Fr
sulphates,6497,0.22,2.0,1.78,14,1,"[0.22, 1.22)",0.72,6479,0.9972294905340927,6479,0.9972294905340927
sulphates,6497,0.22,2.0,1.78,14,1,"[1.22, 2.22)",1.7200000000000002,18,0.0027705094659073418,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[2.22, 3.22)",2.72,0,0.0,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[3.22, 4.22)",3.7199999999999998,0,0.0,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[4.22, 5.22)",4.72,0,0.0,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[5.22, 6.22)",5.72,0,0.0,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[6.22, 7.22)",6.72,0,0.0,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[7.22, 8.22)",7.720000000000001,0,0.0,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[8.22, 9.22)",8.72,0,0.0,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[9.22, 10.22)",9.72,0,0.0,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[10.22, 11.22)",10.72,0,0.0,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[11.22, 12.22)",11.72,0,0.0,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[12.22, 13.22)",12.72,0,0.0,6497,1.0
sulphates,6497,0.22,2.0,1.78,14,1,"[13.22, 14.22)",13.72,0,0.0,6497,1.0
