variavel,correlacao,correlacao_absoluta
alcohol,0.444318520007654,0.444318520007654
density,-0.3058579060694141,0.3058579060694141
volatile acidity,-0.2656994776114678,0.2656994776114678
chlorides,-0.20066550043510195,0.20066550043510195
citric acid,0.08553171718367843,0.08553171718367843
fixed acidity,-0.07674320790961985,0.07674320790961985
free sulfur dioxide,0.055463058616632664,0.055463058616632664
total sulfur dioxide,-0.041385453855608795,0.041385453855608795
sulphates,0.038485445876514444,0.038485445876514444
residual sugar,-0.03698048458576946,0.03698048458576946
pH,0.019505703714435902,0.019505703714435902
