quality_real,quality_prevista,residuo,alcohol,density
5,5.46271550176011,-0.4627155017601101,9.4,0.9978
5,5.592963795406169,-0.5929637954061686,9.8,0.9968
5,5.592883968064403,-0.5928839680644034,9.8,0.997
6,5.59248483135558,0.4075151686444203,9.8,0.998
5,5.46271550176011,-0.4627155017601101,9.4,0.9978
5,5.46271550176011,-0.4627155017601101,9.4,0.9978
5,5.463274293152463,-0.4632742931524634,9.4,0.9964
7,5.658766474634198,1.3412335253658023,10.0,0.9946
7,5.495576927703242,1.504423072296758,9.5,0.9968
5,5.819800683337506,-0.8198006833375064,10.5,0.9978
5,5.398549283038257,-0.3985492830382569,9.2,0.9959
5,5.819800683337506,-0.8198006833375064,10.5,0.9978
5,5.626423926412536,-0.626423926412536,9.9,0.9943
5,5.365488288740712,-0.36548828874071226,9.1,0.9974
5,5.3974716139244325,-0.39747161392443253,9.2,0.9986
5,5.3974716139244325,-0.39747161392443253,9.2,0.9986
7,5.820159906375448,1.179840093624552,10.5,0.9969
5,5.4306523492346255,-0.4306523492346255,9.3,0.9968
4,5.333025999506404,-1.333025999506404,9.0,0.9974
6,5.398150146329433,0.6018498536705668,9.2,0.9969
6,5.463114638468934,0.5368853615310663,9.4,0.9968
5,5.559942714779506,-0.5599427147795062,9.7,0.9982
5,5.495656755045006,-0.4956567550450064,9.5,0.9966
5,5.463114638468934,-0.46311463846893375,9.4,0.9968
6,5.5605015061718595,0.43949849382814055,9.7,0.9968
5,5.431171226956096,-0.43117122695609567,9.3,0.9955
5,5.495816409728536,-0.495816409728536,9.5,0.9962
5,5.495656755045006,-0.4956567550450064,9.5,0.9966
5,5.462954983785404,-0.4629549837854041,9.4,0.9972
6,5.593123450089698,0.40687654991030175,9.8,0.9964
5,5.690749799817919,-0.6907497998179188,10.1,0.9958
6,5.852741936622403,0.14725806337759728,10.6,0.9966
5,5.593043622747933,-0.593043622747933,9.8,0.9966
6,5.462116796696875,0.5378832033031253,9.4,0.9993
5,5.398629110380021,-0.39862911038002125,9.2,0.9957
6,5.527320770861667,0.4726792291383326,9.6,0.9986
6,5.91730729205308,0.08269270794692041,10.8,0.9975
7,5.5605015061718595,1.4394984938281405,9.7,0.9968
4,5.594081378190874,-1.5940813781908743,9.8,0.994
5,5.819800683337506,-0.8198006833375064,10.5,0.9978
5,5.819800683337506,-0.8198006833375064,10.5,0.9978
4,5.430333039867566,-1.4303330398675662,9.3,0.9976
6,5.82019982004633,0.17980017995366993,10.5,0.9968
5,5.755275241577713,-0.7552752415777126,10.3,0.9968
5,5.495816409728536,-0.495816409728536,9.5,0.9962
4,6.665576404948358,-2.665576404948358,13.1,0.9934
5,5.39811023265855,-0.39811023265855017,9.2,0.997
5,5.49553701403236,-0.49553701403235983,9.5,0.9969
5,5.398589196709139,-0.39858919670913906,9.2,0.9958
5,5.398748851392669,-0.3987488513926687,9.2,0.9954
5,5.398070318987668,-0.398070318987668,9.2,0.9971
6,5.463593602519522,0.5364063974804782,9.4,0.9956
6,5.463633516190404,0.5363664838095961,9.4,0.9955
5,5.4630348111271685,-0.4630348111271685,9.4,0.997
6,5.723331830064874,0.27666816993512633,10.2,0.9955
5,5.495177790994418,-0.4951777909944184,9.5,0.9978
5,5.527919475924903,-0.5279194759249028,9.6,0.9971
5,5.462515933405698,-0.4625159334056983,9.4,0.9983
5,5.657608978178609,-0.657608978178609,10.0,0.9975
6,5.463354120494228,0.5366458795057722,9.4,0.9962
5,5.3977110959497265,-0.39771109594972653,9.2,0.998
5,5.4306523492346255,-0.4306523492346255,9.3,0.9968
7,5.495576927703242,1.504423072296758,9.5,0.9968
5,5.593043622747933,-0.593043622747933,9.8,0.9966
5,5.950288459008859,-0.9502884590088589,10.9,0.9962
5,5.950288459008859,-0.9502884590088589,10.9,0.9962
5,5.52803921693755,-0.5280392169375503,9.6,0.9968
5,5.885363880540241,-0.8853638805402406,10.7,0.9962
5,5.885084484844064,-0.8850844848440644,10.7,0.9969
6,5.820439302071624,0.17956069792837592,10.5,0.9962
6,5.495616841374124,0.5043831586258758,9.5,0.9967
5,5.495816409728536,-0.495816409728536,9.5,0.9962
5,5.495856323399418,-0.4958563233994182,9.5,0.9961
4,5.397870750633256,-1.3978707506332562,9.2,0.9976
5,5.527400598203432,-0.5274005982034318,9.6,0.9984
5,5.819481373970447,-0.8194813739704472,10.5,0.9986
5,5.819481373970447,-0.8194813739704472,10.5,0.9986
6,5.885204225856711,0.11479577414328901,10.7,0.9966
5,5.690749799817919,-0.6907497998179188,10.1,0.9958
4,5.3655681160824775,-1.3655681160824775,9.1,0.9972
5,5.398589196709139,-0.39858919670913906,9.2,0.9958
5,5.462875156443639,-0.46287515644363886,9.4,0.9974
5,5.365647943424242,-0.3656479434242419,9.1,0.997
5,5.463074724798052,-0.46307472479805156,9.4,0.9969
6,5.755634464615654,0.2443655353843459,10.3,0.9959
5,5.690630058805271,-0.6906300588052714,10.1,0.9961
6,5.625266429956947,0.37473357004305274,9.9,0.9972
5,5.528119044279315,-0.5281190442793147,9.6,0.9966
5,5.495177790994418,-0.4951777909944184,9.5,0.9978
5,5.332866344822875,-0.33286634482287525,9.0,0.9978
5,5.495736582386772,-0.49573658238677165,9.5,0.9964
6,5.625266429956947,0.37473357004305274,9.9,0.9972
5,5.592804140722639,-0.592804140722639,9.8,0.9972
5,5.528119044279315,-0.5281190442793147,9.6,0.9966
4,5.821397230172801,-1.821397230172801,10.5,0.9938
6,6.600731653821505,-0.6007316538215051,12.9,0.9932
5,5.885244139527593,-0.8852441395275932,10.7,0.9965
5,5.398389628354727,-0.39838962835472724,9.2,0.9963
5,5.593003709077051,-0.5930037090770508,9.8,0.9967
6,5.333105826848169,0.6668941731518307,9.0,0.9972
6,5.722653297659874,0.27734670234012615,10.2,0.9972
6,5.788096753849963,0.21190324615003675,10.4,0.9959
6,5.333105826848169,0.6668941731518307,9.0,0.9972
5,5.398229973671198,-0.3982299736711976,9.2,0.9967
5,5.463433947835992,-0.4634339478359921,9.4,0.996
5,5.398229973671198,-0.3982299736711976,9.2,0.9967
5,5.430452780880214,-0.43045278088021366,9.3,0.9973
5,5.430612435563743,-0.4306124355637433,9.3,0.9969
6,5.527719907570491,0.47228009242950897,9.6,0.9976
5,5.430612435563743,-0.4306124355637433,9.3,0.9969
5,5.495736582386772,-0.49573658238677165,9.5,0.9964
5,5.593123450089698,-0.5931234500896982,9.8,0.9964
5,5.593123450089698,-0.5931234500896982,9.8,0.9964
6,5.559703232754212,0.4402967672457878,9.7,0.9988
5,5.495736582386772,-0.49573658238677165,9.5,0.9964
6,5.8202796473880944,0.17972035261190555,10.5,0.9966
6,5.657489237165962,0.3425107628340376,10.0,0.9978
6,5.4630348111271685,0.5369651888728315,9.4,0.997
6,5.950288459008859,0.04971154099114106,10.9,0.9962
6,5.398549283038257,0.6014507169617431,9.2,0.9959
5,5.333504963556993,-0.3335049635569929,9.0,0.9962
6,5.950288459008859,0.04971154099114106,10.9,0.9962
5,5.3977110959497265,-0.39771109594972653,9.2,0.998
5,5.495257618336183,-0.49525761833618276,9.5,0.9976
5,5.4958962370703,-0.4958962370703004,9.5,0.996
5,5.462476019734815,-0.4624760197348152,9.4,0.9984
5,5.950208631667095,-0.9502086316670946,10.9,0.9964
5,5.950208631667095,-0.9502086316670946,10.9,0.9964
7,5.820439302071624,1.179560697928376,10.5,0.9962
5,5.463633516190404,-0.46363351619040394,9.4,0.9955
5,5.463114638468934,-0.46311463846893375,9.4,0.9968
5,6.632994374701402,-1.6329943747014024,13.0,0.9937
5,6.632994374701402,-1.6329943747014024,13.0,0.9937
6,5.593602414140286,0.40639758585971375,9.8,0.9952
6,5.625785307678418,0.37421469232158167,9.9,0.9959
5,5.528158957950197,-0.5281589579501969,9.6,0.9965
5,5.495576927703242,-0.495576927703242,9.5,0.9968
5,5.398030405316786,-0.3980304053167858,9.2,0.9972
5,5.495816409728536,-0.495816409728536,9.5,0.9962
5,5.495816409728536,-0.495816409728536,9.5,0.9962
5,5.528158957950197,-0.5281589579501969,9.6,0.9965
5,5.495576927703242,-0.495576927703242,9.5,0.9968
6,6.958455454133019,-0.958455454133019,14.0,0.9916
5,5.463673429861287,-0.463673429861287,9.4,0.9954
6,6.958455454133019,-0.958455454133019,14.0,0.9916
5,5.463114638468934,-0.46311463846893375,9.4,0.9968
5,5.658846301975963,-0.658846301975963,10.0,0.9944
5,5.4306523492346255,-0.4306523492346255,9.3,0.9968
6,5.723172175381345,0.27682782461865507,10.2,0.9959
6,5.819920424350153,0.180079575649847,10.5,0.9975
6,5.755674378286536,0.24432562171346373,10.3,0.9958
4,5.461997055684227,-1.4619970556842272,9.4,0.9996
5,5.691069109184977,-0.6910691091849772,10.1,0.995
5,5.691069109184977,-0.6910691091849772,10.1,0.995
5,5.820000251691918,-0.8200002516919183,10.5,0.9973
5,5.820000251691918,-0.8200002516919183,10.5,0.9973
5,5.820000251691918,-0.8200002516919183,10.5,0.9973
5,5.820000251691918,-0.8200002516919183,10.5,0.9973
5,5.430612435563743,-0.4306124355637433,9.3,0.9969
6,5.4306523492346255,0.5693476507653745,9.3,0.9968
5,5.528398439975492,-0.5283984399754917,9.6,0.9959
4,5.398309801012962,-1.398309801012962,9.2,0.9965
